Bias,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Pclass2,Fare2
1,3,2,22,1,0,7.25,2,9,0.800691465
1,1,1,38,1,0,71.2833,1,1,1.090777701
1,3,1,26,0,0,7.925,2,9,0.801282346
1,1,1,35,1,0,53.1,2,1,0.960310252
1,3,2,35,0,0,8.05,2,9,0.801397537
1,3,2,28.76,0,0,8.4583,3,9,0.801786358
1,1,2,54,0,0,51.8625,2,1,0.952817407
1,3,2,2,3,1,21.075,2,9,0.823280749
1,3,1,27,0,2,11.1333,2,9,0.804809517
1,2,1,14,1,0,30.0708,1,4,0.849821741
1,3,1,4,1,1,16.7,2,9,0.813747302
1,1,1,58,0,0,26.55,2,1,0.838322088
1,3,2,20,0,0,8.05,2,9,0.801397537
1,3,2,39,1,5,31.275,2,9,0.854083127
1,3,1,14,0,0,7.8542,2,9,0.801217902
1,2,1,55,0,0,16,2,4,0.812426879
1,3,2,2,4,1,29.125,3,9,0.846592075
1,2,2,28.76,0,0,13,2,4,0.807408232
1,3,1,31,1,0,18,2,9,0.8163495
1,3,1,28.76,0,0,7.225,1,9,0.800670591
1,2,2,35,0,0,26,2,4,0.83665483
1,2,2,34,0,0,13,2,4,0.807408232
1,3,1,15,0,0,8.0292,3,9,0.801378244
1,1,2,28,0,0,35.5,2,1,0.87035764
1,3,1,8,3,1,21.075,2,9,0.823280749
1,3,1,38,1,5,31.3875,2,9,0.854489783
1,3,2,28.76,0,0,7.225,1,9,0.800670591
1,1,2,19,3,2,263,2,1,4.787714415
1,3,1,28.76,0,0,7.8792,3,9,0.801240592
1,3,2,28.76,0,0,7.8958,2,9,0.801255697
1,1,2,40,0,0,27.7208,1,1,0.841987445
1,1,1,28.76,1,0,146.5208,1,1,2.036073651
1,3,1,28.76,0,0,7.75,3,9,0.801124107
1,2,2,66,0,0,10.5,2,4,0.804019203
1,1,2,28,1,0,82.1708,1,1,1.187154845
1,1,2,42,1,0,52,2,1,0.95364122
1,3,2,28.76,0,0,7.2292,1,9,0.800674092
1,3,2,21,0,0,8.05,2,9,0.801397537
1,3,1,18,2,0,18,2,9,0.8163495
